Sample	Use	Well(s)	n	Included	B7-H1	CD40 Lig	EGF	Eotaxin	FGF-basic (CDXY)	FGF-basic (HR)	Flt-3 Lig	Fractalkine	G-CSF	GM-CSF	Granzyme B	GRO alpha	GRO beta	IFN-alpha2	IFN-beta	IFN-gamma	IL-10	IL-12p70	IL-13	IL-15	IL-17A	IL-17E	IL-1alpha (BYU)	IL-1alpha (GX)	IL-1beta	IL-1ra	IL-2	IL-3	IL-33	IL-4	IL-5	IL-6	IL-7	IL-8	IP-10	MCP-1	MCP-3	MDC	MIP-1alpha	MIP-1beta	MIP-3alpha	MIP-3beta	PDGF-AA	PDGF-AB/BB	RANTES	TGF-alpha	TNF-alpha	TNF-beta	TRAIL	VEGF
Background0	Blank	A1		Checked																																																		
Background0	Blank	A2		Checked																																																		
Standard1	Standard	B1		Checked	57893.42	383281.57	1480.55	18692.10	7204.86	5783.82	19163.96	208842.78	17812.49	13416.81	5859.00	15155.37	5889.49	4718.98	1703.98	32938.94	31725.57	12239.24	82122.31	2195.06	5379.12	10380.17	967.89	4328.63	2772.20	9287.84	2291.28	11116.43	8901.20	710.08	5755.54	7101.59	2099.40	1349.47	1746.65	2900.56	14031.83	31014.68	3096.23		406.68	2378.57	4990.58	11843.51	238262.49	5772.02	10341.36	315.20	22359.19	5251.13
Standard1	Standard	B2		Checked	51348.04	335440.05	1059.26	17762.69	6654.11	5715.52	17356.38	181015.13	16887.95	12942.01	5417.91	14529.15	5579.21	4434.38	1630.69	29023.76	28836.05	11802.59	47542.63	2056.03	5131.88	10042.22	560.20	3859.24	2521.18	8655.77	2256.11	10552.20	8462.53	659.02	5175.70	6613.28	1963.61	1307.23	1678.14	2856.53	14412.71	11969.12	2821.79		370.59	2220.84	4789.76	8160.07	225981.55	5392.72	9756.53	284.79	21054.46	4894.82
Standard2	Standard	C1		Checked	15495.07	104211.07	474.79	7006.09	2439.96	2274.11	7225.34	50345.98	5696.34	3971.67	2095.42	4844.79	2067.46	1411.05	515.56	11739.86	6220.93	3428.37	9819.97	712.47	1808.50	3571.98	253.43	1272.57	873.42	3481.74	627.23	4037.18	2956.75	225.38	1953.12	2146.19	663.32	440.84	617.32	856.76	4957.36	5612.26	989.19	14573.26	168.95	903.89	1689.51	4196.79	61136.36	1858.83	3168.28	93.66	6514.38	1664.41
Standard2	Standard	C2		Checked	14518.36	97041.13	423.40	6693.11	2343.85	2132.11	7025.47	45976.37	5519.13	3642.85	2006.15	4635.48	2019.69	1316.92	474.28	10167.11	5812.20	3288.87	9361.94	667.76	1692.00	3351.53	230.28	1156.30	844.59	3078.48	588.82	3649.11	2791.74	205.82	1862.48	1998.60	615.72	424.71	582.61	814.33	4725.45	4817.53	940.26	14029.33	160.65	862.08	1607.27	3896.19	60020.58	1759.12	2989.97	88.84	6080.82	1551.70
Standard3	Standard	D1		Checked	4978.06	34331.97	154.31	2129.08	731.86	610.30	1943.23	16283.28	1730.09	1263.76	633.37	1489.41	681.72	458.93	161.98	3627.33	1984.44	1135.25	3613.88	215.04	564.40	1099.78	77.39	369.27	259.72	996.95	201.34	1199.17	851.70	69.46	639.12	654.89	204.79	139.75	199.32	286.92	1660.02	1733.38	331.63	5259.19	45.96	274.08	517.90	1298.50	18430.17	651.04	933.39	30.88	1893.46	499.27
Standard3	Standard	D2		Checked	4693.90	81217.52	145.34	2077.72	709.05	594.94	1894.20	15047.02	1673.19	1183.66	611.16	1467.43	668.26	429.13	151.82	3362.68	1896.16	1085.95	3490.34	209.29	541.27	1062.49	73.33	342.39	253.26	947.87	190.90	1148.20	801.73	66.85	620.61	623.02	196.37	131.26	192.68	278.41	1597.42	1666.42	326.18	5175.51	43.12	257.30	490.13	1241.76	18069.32	616.99	901.78	29.25	1823.08	482.42
Standard4	Standard	E1		Checked	1807.35	12658.76	50.82	741.57	256.48	210.91	666.14	6057.25	607.81	444.85	224.54	510.15	220.96	165.54	59.25	1213.38	751.00	407.12	1287.82	79.21	203.62	383.94	28.59	136.54	93.55	349.12	72.70	422.77	300.55	25.54	216.86	239.48	74.05	48.95	66.86	100.89	537.10	624.38	110.76	1945.65	15.61	95.30	183.61	443.29	7109.44	215.30	338.56	11.09	699.23	181.06
Standard4	Standard	E2		Checked	1656.36	11021.07	44.40	682.09	236.73	194.84	634.10	5321.25	559.70	414.22	204.77	484.80	207.17	147.70	52.96	1109.08	668.39	379.40	1204.93	71.99	182.16	356.21	25.54	116.37	86.07	314.80	65.53	384.10	279.26	23.47	197.93	219.92	66.63	47.06	62.76	97.20	507.69	563.36	109.69	1810.24	14.26	84.05	171.59	417.43	6449.26	195.14	312.05	9.80	644.98	162.93
