Analyte Name	Region	Units	Imported Name	Included
B7-H1	12		B7-H1	Checked
CD40 Lig	25		CD40 Lig	Checked
EGF	33		EGF	Checked
Eotaxin	13		Eotaxin	Checked
FGF-basic (CDXY)	34		FGF-basic (CDXY)	Checked
FGF-basic (HR)	77		FGF-basic (HR)	Checked
Flt-3 Lig	35		Flt-3 Lig	Checked
Fractalkine	26		Fractalkine	Checked
G-CSF	36		G-CSF	Checked
GM-CSF	37		GM-CSF	Checked
Granzyme B	38		Granzyme B	Checked
GRO alpha	27		GRO alpha	Checked
GRO beta	29		GRO beta	Checked
IFN-alpha2	39		IFN-alpha2	Checked
IFN-beta	42		IFN-beta	Checked
IFN-gamma	43		IFN-gamma	Checked
IL-10	44		IL-10	Checked
IL-12p70	45		IL-12p70	Checked
IL-13	46		IL-13	Checked
IL-15	47		IL-15	Checked
IL-17A	48		IL-17A	Checked
IL-17E	51		IL-17E	Checked
IL-1alpha (BYU)	52		IL-1alpha (BYU)	Checked
IL-1alpha (GX)	78		IL-1alpha (GX)	Checked
IL-1beta	53		IL-1beta	Checked
IL-1ra	54		IL-1ra	Checked
IL-2	55		IL-2	Checked
IL-3	56		IL-3	Checked
IL-33	57		IL-33	Checked
IL-4	61		IL-4	Checked
IL-5	62		IL-5	Checked
IL-6	63		IL-6	Checked
IL-7	64		IL-7	Checked
IL-8	30		IL-8	Checked
IP-10	28		IP-10	Checked
MCP-1	15		MCP-1	Checked
MCP-3	22		MCP-3	Checked
MDC	19		MDC	Checked
MIP-1alpha	20		MIP-1alpha	Checked
MIP-1beta	21		MIP-1beta	Checked
MIP-3alpha	18		MIP-3alpha	Checked
MIP-3beta	14		MIP-3beta	Checked
PDGF-AA	66		PDGF-AA	Checked
PDGF-AB/BB	67		PDGF-AB/BB	Checked
RANTES	72		RANTES	Checked
TGF-alpha	73		TGF-alpha	Checked
TNF-alpha	74		TNF-alpha	Checked
TNF-beta	65		TNF-beta	Checked
TRAIL	75		TRAIL	Checked
VEGF	76		VEGF	Checked
