Sample	Use	Well	n	Included	B7-H1	CD40 Lig	EGF	Eotaxin	FGF-basic (CDXY)	FGF-basic (HR)	Flt-3 Lig	Fractalkine	G-CSF	GM-CSF	Granzyme B	GRO alpha	GRO beta	IFN-alpha2	IFN-beta	IFN-gamma	IL-10	IL-12p70	IL-13	IL-15	IL-17A	IL-17E	IL-1alpha (BYU)	IL-1alpha (GX)	IL-1beta	IL-1ra	IL-2	IL-3	IL-33	IL-4	IL-5	IL-6	IL-7	IL-8	IP-10	MCP-1	MCP-3	MDC	MIP-1alpha	MIP-1beta	MIP-3alpha	MIP-3beta	PDGF-AA	PDGF-AB/BB	RANTES	TGF-alpha	TNF-alpha	TNF-beta	TRAIL	VEGF
Background0	Blank	A1		Checked																																																		
Background0	Blank	A2		Checked																																																		
Standard1	Standard	B1		Unchecked	96628.90		803.09	12989.27	15494.28	5393.49	15559.55	302125.44	23297.78	20153.05	6161.71	34584.38	4257.40	6110.07	2385.91	28430.72	59603.05	26992.16		2451.39	7056.06	12320.48	466.91	5835.79	2963.70	9414.61	3010.52	11951.73	11851.68	1136.68	4297.40	8922.22	2834.69	1550.51	2272.73	10120.13	9468.30		3578.28	46684.02	301.63	1932.01	7016.72	5950.70		5056.26	11830.62	394.84	31572.71	7578.57
Standard1	Standard	B2		Unchecked	80248.40		732.81	12635.17	12740.46	5333.73	14430.88	253382.08	21745.84	19127.09	5661.47	28991.08	4151.58	5656.00	2249.33	25650.66	51079.04	25000.77		2281.70	6622.68	11832.12	409.51	5050.69	2688.22	8758.32	2954.82	11290.01	11094.38	1008.85	4056.33	8195.69	2593.55	1495.54	2146.33	9159.19	9560.52		3193.13	42307.98	283.23	1837.71	6619.14	5422.17		4809.02	11109.97	349.15	29142.63	6864.62
Standard2	Standard	C1		Checked	17271.57	120544.90	450.98	6554.61	2676.31	2208.17	6863.26	57172.92	6066.19	4408.08	2087.29	5000.80	2016.91	1527.23	567.89	11431.58	7323.91	3978.96	11117.15	739.76	1903.91	3686.24	246.22	1404.58	909.38	3463.64	695.57	4081.73	3196.10	250.10	1913.69	2312.63	714.56	458.29	635.45	915.61	4862.12	5858.77	1003.32	16622.98	153.65	862.09	1842.07	3823.67	81503.09	1865.52	3368.38	99.70	7215.29	1818.37
Standard2	Standard	C2		Checked	16042.19	108658.75	409.85	6307.34	2550.34	2073.98	6690.18	51697.36	5860.45	4002.31	1996.07	4762.48	1974.32	1417.62	518.00	9973.18	6786.41	3786.13	10457.79	691.62	1769.93	3444.86	226.58	1265.51	878.78	3058.32	649.72	3677.50	3000.57	225.52	1831.59	2142.28	658.52	440.67	596.54	863.10	4660.95	4886.38	951.58	15936.06	147.16	825.31	1742.47	3621.78	79134.98	1767.36	3170.57	94.21	6688.49	1681.16
Standard3	Standard	D1		Checked	5070.03	31995.15	156.82	2168.43	719.43	606.68	1957.37	16889.82	1736.52	1286.94	623.60	1467.37	684.57	468.79	165.20	3641.80	2098.25	1157.07	3538.71	216.65	559.87	1092.67	78.11	378.21	264.34	986.23	208.45	1188.78	857.49	69.90	643.38	666.55	206.25	140.14	195.51	282.27	1679.88	1714.70	329.12	5238.75	46.07	273.76	521.46	1323.77	18028.93	652.71	951.71	31.25	1937.45	502.32
Standard3	Standard	D2		Checked	4770.26	85294.65	147.69	2116.68	696.46	591.58	1908.72	15542.19	1678.29	1202.06	601.80	1445.64	671.04	437.48	154.45	3377.82	1998.20	1103.80	3411.79	210.77	536.54	1055.27	73.95	349.66	257.65	937.75	197.16	1138.08	805.90	67.16	624.71	633.25	197.54	131.51	188.94	273.74	1615.65	1649.64	323.70	5148.34	43.29	257.19	492.58	1265.63	17649.24	618.28	918.68	29.56	1862.82	484.84
Standard4	Standard	E1		Checked	1803.82	12024.23	51.15	748.31	250.79	211.68	674.93	6041.34	604.17	439.51	222.97	505.15	221.23	165.63	58.73	1219.84	745.87	398.49	1245.91	78.99	201.09	381.07	28.55	135.60	93.56	346.71	72.38	419.76	297.78	25.06	217.32	239.19	73.44	48.66	65.90	99.13	536.15	626.29	110.18	1874.16	15.79	95.68	180.70	445.26	6755.92	214.62	337.84	11.03	696.53	179.15
Standard4	Standard	E2		Checked	1652.27	10549.00	44.63	687.06	231.64	195.67	642.41	5289.43	556.28	408.73	203.55	480.28	207.39	147.59	52.38	1114.72	659.62	370.79	1166.90	71.74	180.02	353.68	25.50	115.13	85.96	312.80	65.02	381.55	276.56	23.01	198.28	219.44	66.04	46.77	61.91	95.54	506.62	565.38	109.12	1744.52	14.42	84.38	168.74	418.98	6129.98	194.51	310.94	9.74	641.53	161.13
