Sample	Use	Well	n	Included	B7-H1	CD40 Lig	EGF	Eotaxin	FGF-basic (CDXY)	FGF-basic (HR)	Flt-3 Lig	Fractalkine	G-CSF	GM-CSF	Granzyme B	GRO alpha	GRO beta	IFN-alpha2	IFN-beta	IFN-gamma	IL-10	IL-12p70	IL-13	IL-15	IL-17A	IL-17E	IL-1alpha (BYU)	IL-1alpha (GX)	IL-1beta	IL-1ra	IL-2	IL-3	IL-33	IL-4	IL-5	IL-6	IL-7	IL-8	IP-10	MCP-1	MCP-3	MDC	MIP-1alpha	MIP-1beta	MIP-3alpha	MIP-3beta	PDGF-AA	PDGF-AB/BB	RANTES	TGF-alpha	TNF-alpha	TNF-beta	TRAIL	VEGF
Background0	Blank	A1		Checked																																																		
Background0	Blank	A2		Checked																																																		
Standard1	Standard	B1		Indeterminate	96628.90	391616.81	1591.93	18514.53	7126.61	5961.16	18068.48	208867.92	18214.01	13119.73	5872.78	12986.27	5500.32	4524.08	1686.28	33045.44	26440.60	11851.87	50818.40	2201.56	5761.97	10328.87	996.64	3849.38	2559.15	9183.93	2174.55	11066.76	9365.64	759.44	5667.19	6935.01	2025.40	1391.49	1780.26	2833.62	14000.62	40691.02		28595.25	416.29	2403.32	5062.58	12177.98	263362.52	5776.92	9697.96	307.14	21579.73	5426.22
Standard1	Standard	B2		Indeterminate	80248.40	340972.72	1059.22	17627.26	6591.03	5885.46	16520.57	181228.69	17248.54	12678.68	5428.39	12521.19	5270.19	4271.07	1615.01	29116.46	24490.69	11456.82	41351.91	2061.89	5465.39	9987.05	560.74	3501.23	2359.72	8575.31	2143.39	10516.40	8859.94	698.79	5125.14	6481.11	1903.94	1345.01	1705.97	2790.96	14384.62	12135.15		27721.03	377.91	2245.08	4863.30	8098.66	248111.87	5396.62	9203.29	279.12	20397.54	5040.81
Standard2	Standard	C1		Checked	17271.57	103693.01	470.31	7040.40	2449.07	2274.88	7236.76	50313.41	5707.98	4014.96	2092.44	4683.22	2089.41	1426.66	517.59	11730.80	6183.00	3468.61	9975.08	712.64	1794.13	3556.34	253.09	1284.07	883.96	3486.02	624.44	4056.81	2929.34	223.76	1960.22	2164.45	671.54	437.01	613.77	849.64	4948.39	5568.61	34075.83	17772.79	168.92	908.91	1724.85	4151.32	61102.44	1858.45	3193.53	94.62	6541.22	1660.63
Standard2	Standard	C2		Checked	16042.19	96517.88	419.99	6726.19	2353.27	2131.83	7042.78	45931.96	5528.60	3685.45	2003.13	4493.55	2041.21	1333.08	476.44	10152.47	5791.43	3328.87	9495.90	667.84	1675.26	3338.35	230.00	1171.17	855.58	3083.15	586.79	3667.22	2762.56	203.88	1869.10	2016.97	624.04	420.83	579.21	807.97	4717.69	4779.31	24276.59	17297.80	160.51	866.47	1640.54	3857.02	59958.00	1758.74	3018.38	89.79	6110.19	1546.77
Standard3	Standard	D1		Checked	5070.03	34113.84	154.45	2134.93	735.80	609.86	1975.35	16236.26	1725.46	1280.49	631.97	1495.91	683.98	466.51	163.57	3614.09	2010.20	1149.29	3591.32	214.93	552.97	1101.30	77.39	378.10	264.78	997.59	202.35	1202.74	838.80	68.25	639.46	662.83	208.07	138.16	198.60	286.48	1661.42	1730.05	1230.18	6861.19	45.68	273.57	524.19	1299.15	18298.63	650.85	949.84	31.22	1908.03	496.38
Standard3	Standard	D2		Checked	4770.26	80715.43	145.50	2083.30	712.80	594.53	1925.38	15003.60	1668.77	1199.05	609.82	1474.04	670.38	436.05	153.34	3350.48	1920.83	1099.07	3467.31	209.18	530.39	1064.03	73.33	350.33	258.14	948.39	191.88	1151.46	789.90	65.69	620.91	630.51	199.47	129.81	192.00	278.01	1598.83	1663.61	1192.70	6743.71	42.86	256.78	495.85	1242.68	17943.53	616.81	917.47	29.56	1836.95	479.71
Standard4	Standard	E1		Checked	1803.82	12623.31	50.92	741.97	256.61	211.24	671.94	6047.04	607.89	448.16	224.25	513.27	220.58	166.63	59.97	1211.49	757.14	408.31	1276.48	79.24	201.37	384.66	28.59	137.59	94.10	348.62	73.08	422.61	299.23	25.30	216.75	241.51	74.54	48.73	66.77	100.88	537.59	625.31	195.11	2262.44	15.58	95.12	184.13	444.50	7151.64	215.26	340.52	11.13	702.01	181.45
Standard4	Standard	E2		Checked	1652.27	10996.99	44.48	682.36	236.75	195.18	639.29	5313.85	559.94	417.10	204.52	487.69	206.78	148.46	53.61	1107.68	673.17	380.22	1194.59	72.02	180.41	356.85	25.55	116.88	86.46	314.29	65.86	383.83	278.30	23.28	197.83	221.69	66.99	46.87	62.68	97.19	508.12	564.24	192.17	2084.33	14.25	83.91	171.98	418.55	6498.37	195.11	313.47	9.82	647.30	163.45
