Sample	Use	Well(s)	n	Included	B7-H1	CD40 Lig	EGF	Eotaxin	FGF-basic (CDXY)	FGF-basic (HR)	Flt-3 Lig	Fractalkine	G-CSF	GM-CSF	Granzyme B	GRO alpha	GRO beta	IFN-alpha2	IFN-beta	IFN-gamma	IL-10	IL-12p70	IL-13	IL-15	IL-17A	IL-17E	IL-1alpha (BYU)	IL-1alpha (GX)	IL-1beta	IL-1ra	IL-2	IL-3	IL-33	IL-4	IL-5	IL-6	IL-7	IL-8	IP-10	MCP-1	MCP-3	MDC	MIP-1alpha	MIP-1beta	MIP-3alpha	MIP-3beta	PDGF-AA	PDGF-AB/BB	RANTES	TGF-alpha	TNF-alpha	TNF-beta	TRAIL	VEGF
Background0	Blank	A1		Checked																																																		
Background0	Blank	A2		Checked																																																		
Standard1	Standard	B1		Checked	49070.25	2623564.27	1166.12	17663.62	6685.46	5249.21	17148.10	163698.25	15855.38	11617.88	5803.74	11817.79	5230.54	4265.32	1549.97	31258.72	20508.21	10808.37	46308.52	2059.75	5174.32	9788.75	714.13	3666.29	2504.93	8821.72	1876.15	10623.36	7846.20	667.95	5312.37	6286.21	1942.45	1249.96	1726.89	3025.79	12002.07	23927.68	2753.70	76150.25	387.51	2279.21	4746.94	8944.18	190662.69	5195.66	8765.34	292.21	18232.96	4724.25
Standard1	Standard	B2		Checked	44802.78	816085.12	1004.42	16903.54	6244.70	5197.27	15745.64	148387.03	15212.45	11312.06	5369.90	11550.43	5062.61	4052.17	1498.40	27780.96	19573.37	10522.21	40802.15	1944.91	4959.89	9500.48	562.91	3379.73	2319.42	8254.11	1856.83	10109.76	7548.32	626.86	4920.41	5943.33	1834.74	1217.19	1659.39	2984.10	12154.86	11523.80	2605.69	60792.70	354.72	2144.11	4584.46	7721.85	184721.63	4934.18	8399.45	268.04	17502.03	4467.77
Standard2	Standard	C1		Checked	15967.49	88025.46	513.92	7037.07	2477.43	2263.62	7051.52	52224.80	5846.04	4145.82	2088.68	4897.61	2173.64	1450.46	547.24	11609.14	6637.85	3654.08	10286.79	724.37	1848.91	3588.13	271.48	1336.19	895.21	3430.07	659.89	3989.45	3036.75	233.38	2024.51	2212.58	677.79	455.57	615.34	872.88	5374.63	5553.32	1025.89	16711.11	164.69	909.08	1759.26	4709.97	65486.00	1884.64	3257.06	96.23	6744.27	1720.49
Standard2	Standard	C2		Checked	15019.60	81292.54	457.12	6726.30	2382.88	2128.40	6865.14	48039.55	5672.52	3821.89	2000.05	4698.16	2123.53	1357.92	505.11	10077.93	6245.39	3512.65	9753.13	680.11	1732.04	3372.48	244.92	1221.49	866.85	3039.91	622.38	3612.78	2876.42	213.62	1929.72	2067.99	630.73	439.58	581.01	827.48	5123.81	4764.10	973.72	15961.75	156.68	867.43	1675.89	4387.80	64357.96	1784.80	3086.04	91.42	6329.84	1609.20
Standard3	Standard	D1		Checked	5243.85	28975.33	158.34	2137.20	747.28	615.93	1941.51	17435.47	1797.56	1339.47	632.69	1528.60	698.94	479.97	171.64	3629.21	2170.62	1214.36	3499.59	219.94	578.12	1117.09	76.21	391.96	268.62	993.00	216.08	1199.85	885.28	71.81	647.00	686.54	211.37	146.05	199.81	282.64	1709.50	1694.97	333.76	5142.40	45.38	275.79	537.82	1364.67	19462.31	657.66	980.48	31.98	2011.13	521.58
Standard3	Standard	D2		Checked	4940.27	67123.41	148.79	2085.42	723.66	600.23	1892.51	16087.77	1737.60	1252.56	610.50	1505.81	684.80	448.51	160.51	3365.86	2069.79	1159.91	3376.01	213.98	554.14	1079.05	72.06	362.47	261.83	944.14	204.56	1149.01	832.10	69.04	627.94	652.62	202.58	137.05	193.17	274.18	1641.65	1629.11	328.20	5054.43	42.60	258.86	508.31	1300.57	19058.98	623.00	946.56	30.28	1934.57	503.62
Standard4	Standard	E1		Checked	1850.09	11791.32	51.14	742.05	256.34	208.72	661.32	6247.27	616.64	452.76	224.08	515.50	222.08	169.69	59.89	1220.36	767.64	414.62	1241.06	79.58	205.08	386.13	27.81	138.15	94.41	346.90	74.44	423.21	301.17	25.62	217.43	244.50	74.98	49.83	67.07	99.62	532.62	612.17	110.85	1858.98	15.62	95.69	184.62	443.22	7000.05	216.70	342.90	11.27	713.70	183.49
Standard4	Standard	E2		Checked	1689.86	10428.36	44.68	682.43	236.16	192.49	629.20	5450.56	566.53	420.13	204.32	489.47	208.07	150.93	53.21	1115.87	676.38	384.84	1162.51	72.17	183.07	357.88	24.87	116.66	86.64	312.67	66.68	384.43	278.98	23.48	198.43	223.89	67.29	47.85	62.96	96.01	503.06	552.95	109.79	1731.52	14.30	84.39	172.12	416.97	6299.34	196.44	314.88	9.93	655.66	164.48
