Sample	Use	Well(s)	n	Included	B7-H1	CD40 Lig	EGF	Eotaxin	FGF-basic (CDXY)	FGF-basic (HR)	Flt-3 Lig	Fractalkine	G-CSF	GM-CSF	Granzyme B	GRO alpha	GRO beta	IFN-alpha2	IFN-beta	IFN-gamma	IL-10	IL-12p70	IL-13	IL-15	IL-17A	IL-17E	IL-1alpha (BYU)	IL-1alpha (GX)	IL-1beta	IL-1ra	IL-2	IL-3	IL-33	IL-4	IL-5	IL-6	IL-7	IL-8	IP-10	MCP-1	MCP-3	MDC	MIP-1alpha	MIP-1beta	MIP-3alpha	MIP-3beta	PDGF-AA	PDGF-AB/BB	RANTES	TGF-alpha	TNF-alpha	TNF-beta	TRAIL	VEGF
Background0	Blank	A1,A2	2	Checked																																																		
Standard1	Standard	B1,B2	2	Checked	46936.51	1719824.70	1085.27	17283.58	6465.08	5223.24	16446.87	156042.64	15533.91	11464.97	5586.82	11684.11	5146.57	4158.74	1524.18	29519.84	20040.79	10665.29	43555.33	2002.33	5067.10	9644.61	638.52	3523.01	2412.17	8537.91	1866.49	10366.56	7697.26	647.40	5116.39	6114.77	1888.60	1233.57	1693.14	3004.95	12078.46	17725.74	2679.69	68471.48	371.12	2211.66	4665.70	8333.02	187692.16	5064.92	8582.39	280.12	17867.50	4596.01
Standard2	Standard	C1,C2	2	Checked	15493.54	84659.00	485.52	6881.68	2430.16	2196.01	6958.33	50132.18	5759.28	3983.85	2044.36	4797.88	2148.59	1404.19	526.17	10843.54	6441.62	3583.37	10019.96	702.24	1790.47	3480.30	258.20	1278.84	881.03	3234.99	641.13	3801.11	2956.59	223.50	1977.11	2140.29	654.26	447.58	598.17	850.18	5249.22	5158.71	999.80	16336.43	160.69	888.26	1717.57	4548.89	64921.98	1834.72	3171.55	93.83	6537.06	1664.85
Standard3	Standard	D1,D2	2	Checked	5092.06	48049.37	153.56	2111.31	735.47	608.08	1917.01	16761.62	1767.58	1296.01	621.60	1517.20	691.87	464.24	166.07	3497.54	2120.21	1187.13	3437.80	216.96	566.13	1098.07	74.14	377.21	265.23	968.57	210.32	1174.43	858.69	70.43	637.47	669.58	206.97	141.55	196.49	278.41	1675.58	1662.04	330.98	5098.42	43.99	267.32	523.07	1332.62	19260.65	640.33	963.52	31.13	1972.85	512.60
Standard4	Standard	E1,E2	2	Checked	1769.97	11109.84	47.91	712.24	246.25	200.61	645.26	5848.91	591.59	436.45	214.20	502.48	215.08	160.31	56.55	1168.12	722.01	399.73	1201.79	75.87	194.08	372.00	26.34	127.40	90.52	329.78	70.56	403.82	290.08	24.55	207.93	234.20	71.14	48.84	65.01	97.82	517.84	582.56	110.32	1795.25	14.96	90.04	178.37	430.09	6649.70	206.57	328.89	10.60	684.68	173.98
Standard5	Standard	F1,F2	2	Checked	564.45	4408.55	16.01	236.00	81.68	71.85	221.99	1877.75	202.81	143.97	70.46	160.20	72.66	50.53	17.96	381.01	236.48	131.32	393.44	24.93	63.61	122.44	8.43	43.20	30.47	112.79	23.30	134.48	99.50	7.92	68.38	75.29	23.65	15.07	21.43	32.18	181.69	185.20	36.20	590.89	5.29	29.62	59.07	134.88	2205.95	67.27	107.44	3.37	228.24	57.97
Standard6	Standard	G1,G2	2	Checked	194.09	1539.37	5.80	81.20	30.15	27.10	81.81	640.30	70.62	49.62	24.53	57.70	25.32	18.33	6.68	136.97	83.59	45.60	130.30	8.49	22.38	42.70	2.94	15.97	10.71	39.04	8.02	46.88	35.42	2.83	23.91	26.86	8.07	5.47	7.48	10.55	58.80	65.50	12.30	197.70	1.89	10.68	21.39	49.75	826.37	23.85	38.85	1.19	80.18	20.52
Standard7	Standard	H1,H2	2	Checked	64.14	551.42	1.67	26.65	9.49	7.85	23.99	210.40	21.44	15.82	7.91	19.37	8.03	5.63	1.97	42.79	26.43	14.71	43.84	2.79	7.07	13.21	0.95	4.73	3.35	12.45	2.59	14.95	10.58	0.90	7.61	8.57	2.57	1.69	2.39	3.55	19.94	21.13	4.00	65.87	0.57	3.25	6.47	14.94	230.34	7.32	12.15	0.43	25.35	6.47
Unknown1	Unknown	A3,A5	2	Checked	90.93	1120.42	2.65	32.02	16.71	11.43	50.45	335.11	33.64	23.76	11.63	120.49	13.84	7.75	3.89	52.28	64.80	22.92	69.95	2.62	13.80	38.72	1.58	7.81	4.55	24.02	7.32	31.80	31.75	1.61	2.78	16.73	5.79	3.13	4.97	6.43	25.22	146.96	33.94	358.49	1.15	5.74	11.89	22.12	580.53	15.60	75.26	1.02	42.78	10.26
Unknown2	Unknown	B3,B5	2	Checked	26972.84	350119.61	585.70	9945.33	4135.11	3424.61	10301.73	86857.43	9279.22	6759.31	3203.72	7106.87	3172.23	2441.06	937.58	16254.45	14800.23	6785.22	20899.70	1148.07	3143.93	6435.50	357.44	2140.87	1409.62	5127.82	1253.38	6235.12	4977.39	376.40	2485.53	3731.81	1142.75	725.82	1045.59	1688.80	5805.86	4661.83	1574.03	25052.12	223.75	1253.05	2851.23	4773.51	117309.88	2618.47	5015.98	189.80	10658.59	2621.08
