Sample	Use	Well(s)	n	Included	B7-H1	CD40 Lig	EGF	Eotaxin	FGF-basic (CDXY)	FGF-basic (HR)	Flt-3 Lig	Fractalkine	G-CSF	GM-CSF	Granzyme B	GRO alpha	GRO beta	IFN-alpha2	IFN-beta	IFN-gamma	IL-10	IL-12p70	IL-13	IL-15	IL-17A	IL-17E	IL-1alpha (BYU)	IL-1alpha (GX)	IL-1beta	IL-1ra	IL-2	IL-3	IL-33	IL-4	IL-5	IL-6	IL-7	IL-8	IP-10	MCP-1	MCP-3	MDC	MIP-1alpha	MIP-1beta	MIP-3alpha	MIP-3beta	PDGF-AA	PDGF-AB/BB	RANTES	TGF-alpha	TNF-alpha	TNF-beta	TRAIL	VEGF
Background0	Blank	A1,A2	2	Checked	15.00	31.50	18.00	25.75	45.75	30.50	23.00	14.50	19.50	25.50	21.00	30.50	24.50	20.50	19.00	29.75	27.00	15.00	18.50	29.25	27.00	23.50	17.00	36.50	23.00	49.50	24.00	23.50	26.00	17.00	13.50	36.50	19.00	30.50	14.00	14.00	14.50	15.50	23.50	13.50	35.75	25.50	33.50	22.00	21.00	21.50	21.50	112.50	28.00	32.00
Standard1	Standard	B1,B2	2	Checked	6472.50	4835.00	5975.75	14305.75	16608.75	11450.50	14142.75	4331.00	16552.00	7954.75	7223.25	19420.75	20407.50	7462.75	6928.00	5233.00	8497.75	6652.25	23022.75	10437.00	10995.00	9976.00	7892.00	4183.50	10424.75	7123.75	7964.75	7155.00	12139.50	10594.50	21296.50	8606.50	8392.50	10422.50	20141.50	26350.25	14466.00	19357.75	29752.25	13442.25	8141.50	7154.50	11872.00	22802.25	23691.50	3501.00	13022.00	3510.50	11646.00	9334.00
Standard2	Standard	C1,C2	2	Checked	3028.75	2495.00	4432.50	9448.00	7255.00	5191.00	8433.50	2295.25	7440.50	3343.50	3883.25	11450.75	13637.50	3339.25	2577.25	3364.75	2955.50	2563.50	16218.50	4804.00	4874.25	4726.75	5799.00	1625.50	4809.75	3582.25	3148.00	3861.00	5304.00	4333.75	14505.00	3866.75	3718.00	4841.00	10399.50	17134.50	11687.00	17161.00	19534.75	10676.00	4994.25	4347.00	5159.25	20195.00	7712.25	2458.00	6236.00	1457.50	5267.50	4185.75
Standard3	Standard	D1,D2	2	Checked	1277.00	1631.00	1999.00	3758.00	2091.50	1208.50	2873.00	1138.50	2313.25	1268.00	1547.75	2991.75	5220.00	1377.00	889.75	1604.00	1063.00	970.50	7620.00	1871.50	1843.50	1653.50	2495.00	536.50	1646.50	1276.75	1200.25	1567.75	1686.00	1580.75	6351.75	1474.50	1410.25	1878.00	3759.00	6605.25	6505.50	10678.50	5999.00	5217.00	1731.50	1679.75	1782.50	12154.00	2149.50	1329.00	2301.00	607.50	1871.00	1530.25
Standard4	Standard	E1,E2	2	Checked	542.00	445.50	642.00	1250.25	639.25	331.00	1012.50	555.25	733.50	495.25	630.75	595.25	1393.00	578.00	338.50	671.75	407.25	378.00	2383.50	791.50	736.00	577.25	926.00	215.75	606.00	491.00	475.25	642.00	613.50	628.25	2106.50	610.25	562.00	770.00	1176.00	1844.50	2482.25	3924.75	1145.75	1618.50	635.25	613.75	678.00	5321.50	718.75	553.50	901.50	294.75	736.75	602.00
Standard5	Standard	F1,F2	2	Checked	215.50	189.75	208.50	382.00	215.75	117.25	365.50	250.75	248.00	199.50	249.00	124.50	385.25	230.50	130.50	269.00	163.75	151.00	573.00	325.75	292.50	204.50	281.00	101.50	229.00	208.00	195.00	258.50	239.25	240.50	634.50	247.25	224.00	298.50	359.50	415.50	876.00	866.75	204.25	362.50	252.50	222.50	265.50	1835.75	246.75	217.25	345.50	175.25	290.75	244.50
Standard6	Standard	G1,G2	2	Checked	95.50	91.50	86.50	131.00	104.00	60.50	156.00	118.00	99.50	93.50	112.00	50.00	127.00	109.75	65.50	127.00	81.75	69.75	141.00	148.50	135.00	89.50	100.00	62.50	102.00	110.00	91.50	118.00	110.00	108.25	208.25	122.00	99.75	144.50	127.50	96.00	263.50	199.00	54.25	84.00	120.75	101.50	127.00	722.00	109.50	99.50	154.50	136.50	133.00	117.00
Standard7	Standard	H1,H2	2	Checked	46.00	63.50	45.50	55.50	66.50	42.25	73.50	55.00	50.50	51.50	57.50	35.00	57.00	54.00	36.50	67.50	49.00	37.00	44.00	76.75	69.75	49.00	43.50	45.50	54.00	74.50	49.50	61.50	58.75	52.50	73.00	69.00	51.00	75.75	54.00	29.00	80.00	43.50	29.00	26.00	72.00	56.00	69.00	279.50	54.00	52.50	73.00	122.25	69.75	64.50
Unknown1	Unknown	A3,A5	2	Checked	53.00	71.00	49.00	65.50	76.25	42.50	103.00	66.50	57.00	57.50	64.50	118.50	80.00	59.00	45.00	67.50	66.50	42.50	81.00	68.00	91.50	81.00	61.50	48.00	56.75	83.50	80.50	84.00	95.00	68.00	36.00	87.00	73.50	93.00	90.00	62.00	107.50	796.50	277.75	236.00	85.00	64.75	84.00	335.75	81.50	70.50	240.00	126.00	83.00	74.00
Unknown2	Unknown	B3,B5	2	Checked	4179.00	3501.50	4389.00	10122.00	11073.00	7630.25	10233.00	2933.75	10455.75	4959.50	4827.50	13059.25	15098.25	4742.00	4357.25	3674.50	6386.50	4399.25	17566.50	6477.75	7312.50	7278.75	6120.50	2601.00	6493.00	4787.75	5575.00	5052.75	8212.50	6541.50	12235.00	5688.00	5555.25	6725.75	14291.75	19880.00	11023.50	15952.00	22048.75	10390.50	5807.25	4928.00	7749.00	19470.25	14537.75	2719.50	8375.25	2548.00	7486.75	5776.75
