Sample	Use	Well(s)	n	Included	B7-H1	CD40 Lig	EGF	Eotaxin	FGF-basic (CDXY)	FGF-basic (HR)	Flt-3 Lig	Fractalkine	G-CSF	GM-CSF	Granzyme B	GRO alpha	GRO beta	IFN-alpha2	IFN-beta	IFN-gamma	IL-10	IL-12p70	IL-13	IL-15	IL-17A	IL-17E	IL-1alpha (BYU)	IL-1alpha (GX)	IL-1beta	IL-1ra	IL-2	IL-3	IL-33	IL-4	IL-5	IL-6	IL-7	IL-8	IP-10	MCP-1	MCP-3	MDC	MIP-1alpha	MIP-1beta	MIP-3alpha	MIP-3beta	PDGF-AA	PDGF-AB/BB	RANTES	TGF-alpha	TNF-alpha	TNF-beta	TRAIL	VEGF
Background0	Blank	A1,A2	2	Checked																																																		
Standard1	Standard	B1,B2	2	Checked	54620.73	359360.81	1269.90	18227.39	6929.48	5749.67	18260.17	194928.96	17350.22	13179.41	5638.45	14842.26	5734.35	4576.68	1667.34	30981.35	30280.81	12020.91	64832.47	2125.54	5255.50	10211.19	764.04	4093.93	2646.69	8971.81	2273.69	10834.31	8681.87	684.55	5465.62	6857.44	2031.51	1328.35	1712.40	2878.55	14222.27	21491.90	2959.01		388.63	2299.70	4890.17	10001.79	232122.02	5582.37	10048.94	299.99	21706.82	5072.98
Standard2	Standard	C1,C2	2	Checked	15006.71	100626.10	449.09	6849.60	2391.90	2203.11	7125.40	48161.18	5607.74	3807.26	2050.79	4740.14	2043.57	1363.98	494.92	10953.48	6016.56	3358.62	9590.95	690.12	1750.25	3461.75	241.86	1214.44	859.00	3280.11	608.02	3843.15	2874.24	215.60	1907.80	2072.39	639.52	432.78	599.96	835.54	4841.40	5214.90	964.72	14301.29	164.80	882.98	1648.39	4046.49	60578.47	1808.97	3079.13	91.25	6297.60	1608.05
Standard3	Standard	D1,D2	2	Checked	4835.98	57774.75	149.82	2103.40	720.45	602.62	1918.72	15665.15	1701.64	1223.71	622.26	1478.42	674.99	444.03	156.90	3495.00	1940.30	1110.60	3552.11	212.16	552.84	1081.13	75.36	355.83	256.49	972.41	196.12	1173.68	826.71	68.15	629.86	638.95	200.58	135.51	196.00	282.66	1628.72	1699.90	328.91	5217.35	44.54	265.69	504.02	1270.13	18249.75	634.02	917.58	30.07	1858.27	490.84
Standard4	Standard	E1,E2	2	Checked	1731.85	11839.91	47.61	711.83	246.60	202.88	650.12	5689.25	583.75	429.54	214.65	497.48	214.06	156.62	56.11	1161.23	709.70	393.26	1246.38	75.60	192.89	370.08	27.07	126.46	89.81	331.96	69.11	403.43	289.90	24.51	207.40	229.70	70.34	48.00	64.81	99.04	522.40	593.87	110.23	1877.95	14.94	89.68	177.60	430.36	6779.35	205.22	325.31	10.44	672.11	171.99
Standard5	Standard	F1,F2	2	Checked	576.29	4191.52	15.82	236.05	83.82	74.15	226.09	1934.01	205.95	148.93	70.72	161.60	72.98	50.96	18.87	377.29	252.84	136.75	396.30	25.41	64.47	123.72	8.48	45.34	31.14	114.01	24.22	134.72	103.59	8.17	68.05	76.56	23.99	15.38	21.39	32.11	183.95	185.71	36.08	597.04	5.22	29.53	60.90	134.87	2437.79	66.58	111.39	3.42	235.85	59.45
Standard6	Standard	G1,G2	2	Checked	202.19	1373.52	5.73	81.21	31.20	28.12	83.81	675.85	72.88	52.47	24.61	58.95	25.54	18.81	7.22	135.54	91.80	48.49	127.85	8.72	22.80	43.68	2.90	17.16	11.09	39.41	8.55	47.05	37.51	2.94	23.75	27.71	8.29	5.71	7.46	10.41	59.05	64.82	12.24	192.88	1.85	10.68	22.32	49.41	952.63	23.65	41.05	1.23	84.75	21.33
Standard7	Standard	H1,H2	2	Checked	63.17	577.40	1.75	26.67	9.23	7.42	24.12	203.82	21.09	15.33	7.88	19.49	8.05	5.60	1.97	42.73	22.92	13.96	44.08	2.75	6.89	13.47	0.96	4.52	3.28	12.27	2.48	14.94	10.21	0.85	7.66	8.31	2.55	1.72	2.38	3.57	19.86	21.23	4.04	66.42	0.57	3.29	6.26	15.47	229.34	7.52	11.78	0.45	24.37	6.25
Unknown1	Unknown	A3,A5	2	Checked	94.51	1007.24	2.62	32.03	17.31	11.83	51.66	342.03	34.72	25.12	11.67	120.76	13.96	7.95	4.19	51.78	71.21	24.38	71.23	2.67	14.07	39.36	1.56	8.40	4.70	24.28	7.75	31.91	33.46	1.68	2.83	17.26	5.94	3.26	4.96	6.46	25.28	148.82	33.88	369.04	1.12	5.74	12.41	21.98	663.66	15.44	77.01	1.05	45.24	10.67
Unknown10	Unknown	B4,B6	2	Checked	30968.07	215289.40	624.97	10400.74	4373.97	3738.20	11345.32	105105.17	10420.28	7525.17	3395.32	8424.92	3076.32	2705.51	1018.07	17165.87	20271.58	7412.80	21924.76	1243.50	3304.89	6865.09	353.71	2441.09	1551.89	5571.17	1426.78	6739.74	5462.18	413.75	2619.12	4097.35	1247.98	771.01	1099.10	1552.21	5618.06	4898.75	1478.09	20404.32	244.54	1337.32	2896.28	4645.66	131582.04	2979.18	5809.92	209.56	12546.62	2888.30
Unknown11	Unknown	C4,C6	2	Checked	7951.25	55640.78	232.92	3459.47	1259.77	1155.70	3814.97	23603.45	2903.41	2121.50	2700.66	4312.02	1524.01	707.06	250.81	5921.32	3198.73	1734.55	4873.08	366.41	940.62	1816.74	126.83	657.91	483.48	4085.33	457.97	1883.75	1453.79		958.74	3662.82	318.03	3876.48	581.08	1535.79	2312.04	2868.37	526.98	7445.88	93.78	458.58	2905.79	2445.71	52947.14	907.78	1709.35	76.85	3059.79	978.00
Unknown12	Unknown	D4,D6	2	Checked	2510.05	16848.33	74.96	1044.51	366.63	309.91	973.46	7441.85	849.68	616.33	322.58	784.20	350.59	217.49	74.51	1759.15	940.42	561.29	1827.13	104.48	268.92	541.07	38.11	165.40	130.85	513.64	95.45	553.65	400.35	31.69	301.96	337.99	95.54	424.89	93.31	279.07	808.25	782.23	161.46	2587.42	21.33	126.93	250.10	605.92	9052.37	303.65	444.90	14.30	907.98	234.84
Unknown13	Unknown	E4,E6	2	Checked	926.77	6397.27	25.17	379.40	138.61	109.16	364.62	2994.46	311.26	226.77	111.50	362.16	120.81	83.04	28.52	626.75	399.64	212.93	695.19	38.48	104.78	219.46	15.07	62.84	46.76	185.01	39.19	219.90	167.25	12.57	102.69	120.98	38.85	24.11	35.39	52.69	270.69	450.24	86.14	1262.75	8.02	46.68	87.39	229.46	3461.85	108.47	228.40	5.65	352.18	86.33
Unknown14	Unknown	F4,F6	2	Checked	4825.43	49573.62	141.32	1968.45	972.99	854.50	2862.94	15391.17	1904.66	1217.15	694.43	1498.82	718.70	398.01	188.51	3116.25	5210.59	1523.00	3406.05	179.32	672.56	1813.01	91.54	455.71	243.33	1278.15	356.58	1585.82	1336.67	80.50	226.08	804.06	291.00	153.97	270.89	320.06	1542.15	1476.45	354.26	4653.66	63.05	292.42	738.54	1268.74	27864.73	790.59	1022.91	59.81	2283.79	537.61
Unknown15	Unknown	G4,G6	2	Checked	314.12	4709.08	18.58	59.54	30.12	29.91	201.85	1084.48	78.10	173.57	1560.44	1940.39	489.82	10.58	4.14	647.11	181.95	40.24	93.88	17.62	42.25	103.95	4.16	56.44	47.94	2298.29	153.25	63.85	48.57		14.47	2682.91	6.58	3449.17	279.98	1061.21	160.68	797.42	63.99	1009.12	13.09	40.25	2087.31	595.25	24125.45	27.22	231.06	31.09	49.43	206.09
Unknown16	Unknown	H4,H6	2	Checked	28.95	96.46	0.62	10.49	2.65	0.96	18.75	97.82	7.81	6.33	22.92	23.85	10.60	2.37	0.75	21.30	8.09	5.95	27.04	1.20	3.01	4.76	0.48	1.68	1.22	40.83	4.28	5.74	3.51	0.31	3.24	38.53	0.99	422.65	4.29	154.61	13.02	21.92	2.13	75.36	0.28	1.26	26.26	11.16	384.93	3.01	6.14	0.00	9.44	3.74
Unknown2	Unknown	B3,B5	2	Checked	29892.78	205178.72	576.56	10281.84	4332.91	3674.07	11098.69	99693.12	9986.69	7465.69	3226.88	8400.57	3355.59	2624.15	988.62	16826.02	19435.04	7320.04	20948.18	1201.00	3212.87	6685.60	349.31	2351.87	1509.36	5318.78	1411.36	6435.29	5342.21	386.27	2555.57	4027.99	1189.09	754.59	1054.82	1620.54	5676.25	4724.67	1618.49	23917.24	232.01	1276.33	2884.52	4588.92	132697.15	2666.26	5538.53	195.97	12068.99	2763.50
